"DateTime";"Final price";"Historical low"
"2022-11-29 18:22:19";39,99;39,99
"2022-12-22 18:16:21";9,99;9,99
"2023-01-05 18:22:31";39,99;9,99
"2023-02-12 18:01:35";9,99;9,99
"2023-02-19 18:01:38";39,99;9,99
"2023-03-16 17:22:08";9,99;9,99
"2023-03-23 17:22:16";39,99;9,99
"2023-05-20 17:01:33";9,99;9,99
"2023-05-25 17:01:42";39,99;9,99
"2023-06-29 17:26:35";9,99;9,99
"2023-07-13 17:22:22";39,99;9,99
"2023-08-02 17:01:37";9,99;9,99
"2023-08-16 17:01:37";39,99;9,99
"2023-10-13 17:01:30";7,99;7,99
"2023-10-20 17:01:34";39,99;7,99
"2023-11-21 18:09:55";7,99;7,99
"2023-11-28 18:27:32";39,99;7,99
"2023-12-21 18:27:19";7,99;7,99
"2024-01-04 18:27:55";39,99;7,99
"2024-01-30 18:01:36";9,99;7,99
"2024-02-12 18:21:51";39,99;7,99
"2024-03-14 17:40:35";9,99;7,99
"2024-03-21 17:27:39";39,99;7,99
"2024-05-23 17:01:44";7,99;7,99
"2024-05-30 17:01:45";39,99;7,99
"2024-06-27 17:50:48";13,19;7,99
"2024-07-11 17:27:32";39,99;7,99
"2024-08-08 17:01:44";9,99;7,99
"2024-08-21 17:01:36";39,99;7,99
"2024-11-27 11:57:14";39,99;7,99
"2024-11-27 11:57:14";;7,99